file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00340_0116_945588_to_956271,ཅུང་ངལ་གསོ་བའི་ཆེད་དུ་ལམ་ཟུར་གྱི་ས་འབུར་ཞིག་གི་ཐོག་ཏུ་ཁུར་པོ་བཞག་ནས་ནུབ་ཕྱོགས་སུ་ཕྱི་མིག་ཅིག་བལྟས་པས་ལྷ་ས་ནི་རྒྱང་ཐག་རིང་དུ་ལུས་ཟིན་འདུག ཁོ་གཉིས་གཉིས་ཀ་ ,cung ngal gso ba'i ched du lam zur gyi sa 'bur zhig gi thog tu khur po bzhag nas nub phyogs su phyi mig cig bltas pas lha sa ni rgyang thag ring du lus zin 'dug_kho gnyis gnyis ka _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00340_0116_945588_to_956271.wav,STT_AB,2,153,10.683,wav16k/STT_AB00340_0116_945588_to_956271.wav,ཅུང་ངལ་གསོ་བའི་ཆེད་དུ་ལམ་ཟུར་གྱི་ས་ཕུར་ཞིག་གི་ཐོག་ཏུ་ཁུར་པོ་བཞག་ནས་ནུབ་ཕྱོགས་སུ་ཕྱི་མིར་བལྟས་པས་ལྷ་ས་ནི་རྒྱང་ཐག་རིང་དུ་ལུས་ཟིན་འདུག ཁོ་གཉིས་གཉིས་ཀ་
STT_AB00643_0254_1774613_to_1777856,འདས་པའི་དུས་སུ་བདག་དང་སེམས་ཅན་གཞན་རེ་རེ་ཡི་ ,'das pa'i dus su bdag dang sems can gzhan re re yi _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00643_0254_1774613_to_1777856.wav,STT_AB,2,44,3.243,wav16k/STT_AB00643_0254_1774613_to_1777856.wav,འདས་པའི་དུས་སུ་བདག་དང་སེམས་ཅན་གཞན་རེ་རེ་ཡི་
STT_AB00340_0120_992414_to_1000435,འཇིག་རྟེན་འདིའི་ཡུལ་གང་དུ་སླེབས་ཀྱང་ང་ལ་དམྱལ་བའི་ངལ་གསོ་ལྟ་བུའི་དུས་སྐབས་འདྲ་བྱུང་ན་ཁྱོད་མཉམ་དུ་མེད་པའི་སེམས་ཁྲལ་ཡོང་རྒྱུ་དང་།  ,'jig rten 'di'i yul gang du slebs kyang nga la dmyal ba'i ngal gso lta bu'i dus skabs 'dra byung na khyod mnyam du med pa'i sems khral yong rgyu dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00340_0120_992414_to_1000435.wav,STT_AB,2,128,8.021,wav16k/STT_AB00340_0120_992414_to_1000435.wav,འཇིག་རྟེན་འདིའི་ཡུལ་གང་དུ་སླེབས་ཀྱང་ང་ལ་དམྱལ་བའི་ངལ་གསོ་ལྟ་བུའི་དུས་སྐབས་འདྲ་བྱུང་ན་ཁྱོད་མཉམ་དུ་མེད་པའི་སེམས་ཁྲལ་ཡོང་རྒྱུ་དང་།
STT_AB00487_0392_1326629_to_1338336,ཕ་བཀྲ་ཤིས་དང་ཨ་མ་ལྷ་མོ་གཉིས་ཉིན་ཤས་རིང་ལམ་ཆས་ཉོ་རྒྱུ་དང་། དངོས་ཟོག་གྲ་སྒྲིག་བྱེད་པར་བྲེལ། ཉིན་གཅིག་གྲ་སྒྲིག་ཡོངས་རྫོགས་ཚར་སྐབས་ཨ་མ་ལྷ་མོས།  ,pha bkra shis dang a ma lha mo gnyis nyin shas ring lam chas nyo rgyu dang /_dngos zog gra sgrig byed par brel/_nyin gcig gra sgrig yongs rdzogs tshar skabs a ma lha mos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00487_0392_1326629_to_1338336.wav,STT_AB,2,140,11.707,wav16k/STT_AB00487_0392_1326629_to_1338336.wav,དབཀྲ་ཤིས་དང་ཨ་མ་ལྷ་མོ་གཉིསཉིན་ཤས་རིང་ལམ་ཆས་ཉོ་རྒྱུ་དང་། དངོས་ཟོག་གྲ་སྒྲིག་བྱེད་པར་སབྲལ། ཉིན་གཅིག་གྲ་སྒྲིག་ཡོངས་རྫོགས་ཚར་སྐབས་ཨ་མ་ལྷ་མོས་
STT_AB00487_0401_1371424_to_1374820,རྡོ་རྗེ་གདན་གྱི་ཕྱོགས་ཡོངས་རྫོགས་མི་ཚོགས་ཀྱིས་ཁེངས་པ་མ་ཟད།  ,rdo rje gdan gyi phyogs yongs rdzogs mi tshogs kyis khengs pa ma zad/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00487_0401_1371424_to_1374820.wav,STT_AB,2,60,3.396,wav16k/STT_AB00487_0401_1371424_to_1374820.wav,རྡོ་རྗེ་གདན་གྱི་ཕྱོགས་ཡོངས་རྫོགས་མི་ཚོགས་ཀྱིས་ཁེངས་པ་མ་ཟད།
STT_AB00610_0044_249598_to_252158,སོ་སོ་སྐྱེ་བོ་དང་ནི་རྒྱལ་སྲས་ཀྱིས།  ,so so skye bo dang ni rgyal sras kyis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00610_0044_249598_to_252158.wav,STT_AB,2,36,2.56,wav16k/STT_AB00610_0044_249598_to_252158.wav,སོ་སོ་སྐྱེ་བོ་དང་ནི་རྒྱལ་སྲས་ཀྱི།།
STT_AB00610_0045_252858_to_255247,ཁྲོ་དང་བཟོད་པའི་སྐྱོན་ཡོན་རིག་བྱས་ཏེ།  ,khro dang bzod pa'i skyon yon rig byas te/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00610_0045_252858_to_255247.wav,STT_AB,2,39,2.389,wav16k/STT_AB00610_0045_252858_to_255247.wav,ཁྲོ་དང་བཟོད་པའི་སྐྱོན་ཡོན་རིག་བྱས་ཏེ།
STT_AB00610_0046_256168_to_258370,མི་བཟོད་སྤངས་ནས་འཕགས་པའི་སྐྱེ་བོ་ཡིས།  ,mi bzod spangs nas 'phags pa'i skye bo yis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00610_0046_256168_to_258370.wav,STT_AB,2,39,2.202,wav16k/STT_AB00610_0046_256168_to_258370.wav,མི་བཟོད་སྤངས་ནས་འཕགས་པའི་སྐྱེ་བོ་ཡིས།
STT_AB00610_0047_259377_to_261885,བསྔགས་པའི་བཟོད་པ་རྟག་ཏུ་མྱུར་བསྟེན་བྱ།  ,bsngags pa'i bzod pa rtag tu myur bsten bya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00610_0047_259377_to_261885.wav,STT_AB,2,40,2.508,wav16k/STT_AB00610_0047_259377_to_261885.wav,བསྔགས་པའི་བཟོད་པ་རྟག་ཏུ་མྱུར་བསྟན་བྱ།
STT_AB00610_0049_269001_to_272175,རྒྱལ་སྲས་རྣམས་ཀྱིས་བཟོད་པའི་ཕན་ཡོན་རིག་པར་བྱས་ཏེ།  ,rgyal sras rnams kyis bzod pa'i phan yon rig par byas te/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00610_0049_269001_to_272175.wav,STT_AB,2,51,3.174,wav16k/STT_AB00610_0049_269001_to_272175.wav,རྒྱལ་སྲས་རྣམས་ཀྱི་བཟོད་པའི་ཡོན་ཏན་རིག་པར་བྱེད་དེ།
